"","x"
"1","typeChanges.R"
"2","a <- 1L"
"3","plot(1:10)"
"4","cc <- 2L"
"5","cc <- 3L"
"6","d <- 4"
"7","d <- as.list(d)"
"8","e <- matrix(c(1:100), 4)"
"9","e <- matrix(c(1:100), 5)"
"10","f <- 5"
"11","f <- as.integer(f)"
"12","g <- 6"
"13","g <- ""six"""
"14","g <- TRUE"
"15","h <- FALSE"
"16","h <- TRUE"
"17","h <- ""seven"""
"18","h <- ""eight"""
"19","h <- 8L"
"20","h <- 9L"
"21","s <- NULL"
"22","s <- new.env()"
"23","s <- function(x) print(x)"
"24","s <- factor(c(""red"",""green"",""blue"",""red"",""green"",""red""))"
"25","s <- as.POSIXct(""080406 10:11"", tz = ""UTC"", format = ""%y%m%d"
"26","typeChanges.R"
