"","d.id","p.id","name","value","valType","startLine","scriptNum"
"1","d1","p2","a","1","{""container"":""vector"", ""dimension"":[1], ""type"":[""integer""]}",2,1
"2","d2","p3","dev.2","","Device",5,1
"3","d3","p4","cc","2","{""container"":""vector"", ""dimension"":[1], ""type"":[""integer""]}",8,1
"4","d4","p4","dev.2","","Device",8,1
"5","d5","p5","cc","3","{""container"":""vector"", ""dimension"":[1], ""type"":[""integer""]}",9,1
"6","d6","p6","d","4","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",12,1
"7","d7","p7","d","4","{""container"":""list"", ""dimension"":[1]}",13,1
"8","d8","p8","e","[1,]	1	5	9   13   17   21   25   29   33	37	41	45	49	53","{""container"":""matrix"", ""dimension"":[4,25], ""type"":[""integer""]}",16,1
"9","d9","p9","e","[1,]	1	6   11   16   21   26   31   36   41	46	51	56	61	66","{""container"":""matrix"", ""dimension"":[5,20], ""type"":[""integer""]}",17,1
"10","d10","p10","f","5","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",20,1
"11","d11","p11","f","5","{""container"":""vector"", ""dimension"":[1], ""type"":[""integer""]}",21,1
"12","d12","p12","g","6","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",24,1
"13","d13","p13","g","""six""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}",25,1
"14","d14","p14","g","TRUE","{""container"":""vector"", ""dimension"":[1], ""type"":[""logical""]}",26,1
"15","d15","p15","h","FALSE","{""container"":""vector"", ""dimension"":[1], ""type"":[""logical""]}",29,1
"16","d16","p16","h","TRUE","{""container"":""vector"", ""dimension"":[1], ""type"":[""logical""]}",30,1
"17","d17","p17","h","""seven""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}",31,1
"18","d18","p18","h","""eight""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}",32,1
"19","d19","p19","h","8","{""container"":""vector"", ""dimension"":[1], ""type"":[""integer""]}",33,1
"20","d20","p20","h","9","{""container"":""vector"", ""dimension"":[1], ""type"":[""integer""]}",34,1
"21","d21","p21","s","NULL","null",38,1
"22","d22","p22","s","Environment : Empty environment","environment",39,1
"23","d23","p23","s","function(x) print(x)","function",40,1
"24","d24","p24","s","red   green blue  red   green red  ...","factor",41,1
"25","d25","p25","s","""2008-04-06 10:11:00 UTC""","POSIXct",42,1
"26","d26","p26","Rplots.pdf","data/26-Rplots.pdf","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}",NA,1
